INT Temp [°C];AUX Temp [°C];COMP Temp [°C];RELAY Temp [°C];INT Filter Temp [°C];AUX Filter Temp [°C];COMP Filter Temp [°C];RELAY Filter Temp [°C];Relay Control;Battery Charger;Power Dissipation [W];Relay Resistance [Ohm]
23.2455;21.5543;22.9665;21.8055;23.1719;21.4704;22.8974;21.7864;0.0000;0.0000;0.0000;0.0146
23.1693;21.5041;22.9411;21.9061;23.1723;21.4705;22.8976;21.7866;0.0000;0.0000;0.0000;0.0146
23.1693;21.4037;22.9158;21.7804;23.1723;21.4705;22.8971;21.7871;0.0000;0.0000;0.0000;0.0146
23.3470;21.3536;22.9158;21.7050;23.1729;21.4706;22.8976;21.7868;0.0000;0.0000;0.0000;0.0146
23.1439;21.4288;22.9411;21.8307;23.1728;21.4708;22.8969;21.7871;0.0000;0.0000;0.0000;0.0146
23.2962;21.4539;22.8651;21.5292;23.1740;21.4710;22.8974;21.7870;0.0000;0.0000;0.0000;0.0146
23.0678;21.4288;22.8905;21.7301;23.1733;21.4711;22.8971;21.7875;0.0000;0.0000;0.0000;0.0146
23.1693;21.4790;22.9918;21.7301;23.1743;21.4711;22.8975;21.7862;0.0000;0.0000;0.0000;0.0146
23.2201;21.5292;22.9918;21.8055;23.1742;21.4712;22.8967;21.7857;0.0000;0.0000;0.0000;0.0146
23.0171;21.4790;22.8905;21.7301;23.1730;21.4713;22.8970;21.7860;0.0000;0.0000;0.0000;0.0146
23.2201;21.4539;22.8145;21.7804;23.1707;21.4712;22.8959;21.7859;0.0000;0.0000;0.0000;0.0146
23.1947;21.4539;22.8905;21.8055;23.1716;21.4714;22.8957;21.7852;0.0000;0.0000;0.0000;0.0146
23.1693;21.5041;23.0425;21.7050;23.1716;21.4715;22.8957;21.7849;0.0000;0.0000;0.0000;0.0146
23.1947;21.5041;22.8651;21.8307;23.1714;21.4716;22.8961;21.7849;0.0000;0.0000;0.0000;0.0146
23.2708;21.4539;22.8905;21.9313;23.1709;21.4718;22.8947;21.7845;0.0000;0.0000;0.0000;0.0146
23.1439;21.4790;22.9411;21.8810;23.1710;21.4718;22.8946;21.7840;0.0000;0.0000;0.0000;0.0146
23.1693;21.4790;22.9411;21.8055;23.1707;21.4719;22.8953;21.7827;0.0000;0.0000;0.0000;0.0146
23.2962;21.5794;22.8905;21.9061;23.1712;21.4719;22.8967;21.7830;0.0000;0.0000;0.0000;0.0146
23.1439;21.4288;22.8905;21.8810;23.1703;21.4718;22.8961;21.7829;0.0000;0.0000;0.0000;0.0146
23.2708;21.5041;22.9411;21.7050;23.1711;21.4718;22.8962;21.7829;0.0000;0.0000;0.0000;0.0146
23.1186;21.3787;22.7892;21.2784;23.1712;21.4719;22.8964;21.7810;0.0000;0.0000;0.0000;0.0146
23.1186;21.5041;22.8398;21.7301;23.1706;21.4720;22.8966;21.7808;0.0000;0.0000;0.0000;0.0146
23.2455;21.4037;22.9158;21.8307;23.1700;21.4721;22.8969;21.7812;0.0000;0.0000;0.0000;0.0146
23.1439;21.4539;22.8651;21.8558;23.1694;21.4720;22.8968;21.7811;0.0000;0.0000;0.0000;0.0146
23.1693;21.5292;22.9918;21.6799;23.1696;21.4721;22.8966;21.7799;0.0000;0.0000;0.0000;0.0146
23.1947;21.4288;22.8651;21.7050;23.1704;21.4721;22.8962;21.7812;0.0000;0.0000;0.0000;0.0146
23.1947;21.4288;22.8398;21.7804;23.1710;21.4723;22.8960;21.7811;0.0000;0.0000;0.0000;0.0146
23.2201;21.4037;22.9158;21.7552;23.1723;21.4724;22.8963;21.7810;0.0000;0.0000;0.0000;0.0146
23.1947;21.5794;22.8145;21.7804;23.1729;21.4727;22.8961;21.7806;0.0000;0.0000;0.0000;0.0146
23.2455;21.5292;22.9158;21.7050;23.1747;21.4729;22.8957;21.7813;0.0000;0.0000;0.0000;0.0146
23.1693;21.4790;22.9665;21.7301;23.1742;21.4731;22.8955;21.7799;0.0000;0.0000;0.0000;0.0146
23.1947;21.5041;23.0678;21.8810;23.1736;21.4731;22.8956;21.7807;0.0000;0.0000;0.0000;0.0146
23.2455;21.5543;22.9665;21.8307;23.1748;21.4732;22.8953;21.7808;0.0000;0.0000;0.0000;0.0146
